Year,Film,Color
1927,Wings,Black and White
1927,7th Heaven,Black and White
1927,The Racket,Black and White
1928,The Broadway Melody,Black and White
1928,Alibi,
1928,Hollywood Revue,
1928,In Old Arizona,
1928,The Patriot,
1929,All Quiet on the Western Front,Black and White
1929,The Big House,Black and White
1929,Disraeli,
1929,The Divorcee,Black and White
1929,The Love Parade,
1930,Cimarron,
1930,East Lynne,
1930,The Front Page,Black and White
1930,Skippy,
1930,Trader Horn,
1931,Grand Hotel,
1931,Arrowsmith,Black and White
1931,Bad Girl,
1931,The Champ,Black and White
1931,Five Star Final,
1931,One Hour with You,Black and White (tinted) | <br> Black and White
1931,Shanghai Express,Black and White
1931,The Smiling Lieutenant,
1932,Cavalcade,Black and White
1932,42nd Street,Black and White
1932,A Farewell to Arms,Black and White
1932,I Am a Fugitive from a Chain Gang,Black and White
1932,Lady for a Day,Black and White
1932,Little Women,
1932,The Private Life of Henry VIII,
1932,She Done Him Wrong,
1932,Smilin' Through,Black and White
1932,State Fair,
1934,It Happened One Night,Black and White
1934,The Barretts of Wimpole Street,
1934,Cleopatra,
1934,Flirtation Walk,Black and White
1934,The Gay Divorcee,Black and White
1934,Here Comes the Navy,
1934,The House of Rothschild,
1934,Imitation of Life,Black and White
1934,One Night of Love,
1934,The Thin Man,Black and White
1934,Viva Villa!,
1934,The White Parade,Black and White
1935,Mutiny on the Bounty,Black and White
1935,Alice Adams,Black and White
1935,Broadway Melody of 1936,
1935,Captain Blood,Black and White
1935,David Copperfield,Black and White
1935,The Informer,Black and White
1935,The Lives of a Bengal Lancer,
1935,A Midsummer Night's Dream,
1935,Les Misérables,
1935,Naughty Marietta,Black and White
1935,Ruggles of Red Gap,Black and White
1935,Top Hat,Black and White
1936,The Great Ziegfeld,
1936,Anthony Adverse,Black and White
1936,Dodsworth,
1936,Libeled Lady,Black and White
1936,Mr. Deeds Goes to Town,
1936,Romeo and Juliet,
1936,San Francisco,Black and White
1936,The Story of Louis Pasteur,
1936,A Tale of Two Cities,
1936,Three Smart Girls,
1937,The Life of Emile Zola,
1937,The Awful Truth,Black and White
1937,Captains Courageous,Black and White
1937,Dead End,
1937,The Good Earth,Black and White (Sepiatone)
1937,In Old Chicago,Black and White
1937,Lost Horizon,Black and White
1937,One Hundred Men and a Girl,
1937,Stage Door,Black and White
1937,A Star Is Born,Color (Technicolor)
1938,You Can't Take It with You,Black and White
1938,The Adventures of Robin Hood,Color (Technicolor)
1938,Alexander's Ragtime Band,
1938,Boys Town,Black and White (Sepiatone)
1938,The Citadel,
1938,Four Daughters,Black and White
1938,Grand Illusion,Black and White
1938,Jezebel,Black and White
1938,Pygmalion,
1938,Test Pilot,
1939,Gone with the Wind,Color (Technicolor)
1939,Dark Victory,Black and White
1939,"Goodbye, Mr. Chips",
1939,Love Affair,
1939,Mr. Smith Goes to Washington,
1939,Ninotchka,Black and White
1939,Of Mice and Men,
1939,Stagecoach,Black and White
1939,The Wizard of Oz,Black and White (Kansas sequences) (1949 re-release) | <br> Black and White (Kansas sequences) (1955 re-release) | <br> Black and White (Sepiatone) | Color (Technicolor)
1939,Wuthering Heights,Black and White
1940,Rebecca,Black and White
1940,"All This, and Heaven Too",
1940,Foreign Correspondent,Black and White
1940,The Grapes of Wrath,Black and White
1940,The Great Dictator,Black and White
1940,Kitty Foyle,Black and White
1940,The Letter,Black and White
1940,The Long Voyage Home,Black and White
1940,Our Town,
1940,The Philadelphia Story,Black and White
1941,How Green Was My Valley,Black and White
1941,Blossoms in the Dust,Color (Technicolor)
1941,Citizen Kane,Black and White
1941,Here Comes Mr. Jordan,
1941,Hold Back the Dawn,Black and White
1941,The Little Foxes,Black and White
1941,The Maltese Falcon,Black and White
1941,One Foot in Heaven,
1941,Sergeant York,
1941,Suspicion,Black and White
1942,Mrs. Miniver,
1942,49th Parallel,Black and White
1942,Kings Row,Black and White
1942,The Magnificent Ambersons,Black and White
1942,The Pied Piper,
1942,The Pride of the Yankees,
1942,Random Harvest,
1942,The Talk of the Town,Black and White
1942,Wake Island,
1942,Yankee Doodle Dandy,Black and White
1943,Casablanca,Black and White
1943,For Whom the Bell Tolls,Color (Technicolor)
1943,Heaven Can Wait,Color
1943,The Human Comedy,
1943,In Which We Serve,Black and White (archive footage) | <br> Black and White
1943,Madame Curie,Black and White
1943,The More the Merrier,Black and White
1943,The Ox-Bow Incident,Black and White
1943,The Song of Bernadette,Black and White
1943,Watch on the Rhine,Black and White
1944,Going My Way,Black and White
1944,Double Indemnity,Black and White
1944,Gaslight,Black and White
1944,Since You Went Away,Black and White
1944,Wilson,
1945,The Lost Weekend,Black and White
1945,Anchors Aweigh,Color (Technicolor)
1945,The Bells of St. Mary's,
1945,Mildred Pierce,Black and White
1945,Spellbound,Color (brief sequences tinted) | <br> Black and White
1946,The Best Years of Our Lives,Black and White
1946,Henry V,
1946,It's a Wonderful Life,Black and White
1946,The Razor's Edge,Black and White
1946,The Yearling,Color (Technicolor)
1947,Gentleman's Agreement,Black and White
1947,The Bishop's Wife,Black and White
1947,Crossfire,
1947,Great Expectations,Black and White
1947,Miracle on 34th Street,Black and White
1948,Hamlet,
1948,Johnny Belinda,Black and White
1948,The Red Shoes,Color (as Colour by) (Technicolor)
1948,The Snake Pit,Black and White
1948,The Treasure of the Sierra Madre,Black and White
1949,All the King's Men,Black and White
1949,Battleground,Black and White
1949,The Heiress,Black and White
1949,A Letter to Three Wives,Black and White
1949,Twelve O'Clock High,Black and White
1950,All About Eve,Black and White
1950,Born Yesterday,Black and White
1950,Father of the Bride,Black and White
1950,King Solomon's Mines,
1950,Sunset Boulevard,Black and White
1951,An American in Paris,Color (Technicolor)
1951,Decision Before Dawn,Black and White
1951,A Place in the Sun,Black and White
1951,Quo Vadis,Color
1951,A Streetcar Named Desire,
1952,The Greatest Show on Earth,Color (Technicolor)
1952,High Noon,Black and White
1952,Ivanhoe,
1952,Moulin Rouge,Color (Colour by) (Technicolor)
1952,The Quiet Man,Color (Technicolor)
1953,From Here to Eternity,Black and White (archive footage) | <br> Black and White
1953,Julius Caesar,Black and White | <br> Black and White (tinted) (1969 UK re-release)
1953,The Robe,Color (Technicolor)
1953,Roman Holiday,Black and White (archive footage) | <br> Black and White
1953,Shane,Color (Technicolor)
1954,On the Waterfront,Black and White
1954,The Caine Mutiny,Color (Technicolor)
1954,The Country Girl,Black and White
1954,Seven Brides for Seven Brothers,Color
1954,Three Coins in the Fountain,Color (DeLuxe)
1955,Marty,Black and White
1955,Love Is a Many-Splendored Thing,
1955,Mister Roberts,
1955,Picnic,Color (Technicolor)
1955,The Rose Tattoo,
1956,Around the World in 80 Days,Color (Eastman Color) | Color (Technicolor)
1956,Friendly Persuasion,Color (as De Luxe)
1956,Giant,Color (WarnerColor)
1956,The King and I,Color
1956,The Ten Commandments,Color (Technicolor)
1957,The Bridge on the River Kwai,Color (Technicolor)
1957,12 Angry Men,Black and White
1957,Peyton Place,Color
1957,Sayonara,Color
1957,Witness for the Prosecution,Black and White
1958,Gigi,Color (Metrocolor)
1958,Auntie Mame,Color (Technicolor)
1958,Cat on a Hot Tin Roof,Color (Metrocolor)
1958,The Defiant Ones,Black and White
1958,Separate Tables,Black and White
1959,Ben-Hur,Color (Technicolor)
1959,Anatomy of a Murder,Black and White
1959,The Diary of Anne Frank,Black and White
1959,The Nun's Story,
1959,Room at the Top,Black and White
1960,The Apartment,Black and White
1960,The Alamo,Color
1960,Elmer Gantry,Color (Eastman Color)
1960,Sons and Lovers,
1960,The Sundowners,
1961,West Side Story,Color (Technicolor)
1961,Fanny,Color (Technicolor)
1961,The Guns of Navarone,Black and White (archive footage) | Color (Eastmancolor)
1961,The Hustler,Black and White
1961,Judgment at Nuremberg,Black and White
1962,Lawrence of Arabia,Color (Technicolor)
1962,The Longest Day,Black and White
1962,The Music Man,Color (Technicolor)
1962,Mutiny on the Bounty,Color (Technicolor)
1962,To Kill a Mockingbird,Black and White
1963,Tom Jones,Color
1963,America America,
1963,Cleopatra,Color (Color by Deluxe) | Color
1963,How the West Was Won,Color (Metrocolor) (uncredited)
1963,Lilies of the Field,Black and White
1964,My Fair Lady,Color
1964,Becket,Color (Technicolor)
1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,
1964,Mary Poppins,Color (Technicolor)
1964,Zorba the Greek,Black and White
1965,The Sound of Music,Color
1965,Darling,Black and White
1965,Doctor Zhivago,Color
1965,Ship of Fools,Black and White
1965,A Thousand Clowns,
1966,A Man for All Seasons,Color (Technicolor)
1966,Alfie,Color (Technicolor)
1966,"The Russians Are Coming, the Russians Are Coming",Color
1966,The Sand Pebbles,Color (Color by Deluxe)
1966,Who's Afraid of Virginia Woolf?,Black and White
1967,In the Heat of the Night,Color
1967,Bonnie and Clyde,Color (Technicolor)
1967,Doctor Dolittle,Color (Color by Deluxe)
1967,The Graduate,Color (Technicolor)
1967,Guess Who's Coming to Dinner,Color
1968,Oliver!,Color (Technicolor)
1968,Funny Girl,Color (Technicolor)
1968,The Lion in Winter,Color (Eastmancolor) (uncredited)
1968,"Rachel, Rachel",
1968,Romeo and Juliet,Color (Technicolor)
1969,Midnight Cowboy,Black and White | Color
1969,Anne of the Thousand Days,Color (Technicolor)
1969,Butch Cassidy and the Sundance Kid,Color | <br> Black and White (Sepiatone)
1969,"Hello, Dolly!",Color (Color by Deluxe)
1969,Z,
1970,Patton,Color
1970,Airport,Color (Technicolor)
1970,Five Easy Pieces,Color
1970,Love Story,Color
1970,MASH,Color
1971,The French Connection,Color (Color by Deluxe)
1971,A Clockwork Orange,Black and White | Color (Warnercolor) (uncredited)
1971,Fiddler on the Roof,Color (Technicolor)
1971,The Last Picture Show,Black and White
1971,Nicholas and Alexandra,Color (Eastmancolor) (uncredited)
1972,The Godfather,Color (Technicolor)
1972,Cabaret,Color (Technicolor)
1972,Deliverance,Color (Technicolor)
1972,The Emigrants,
1972,Sounder,Color
1973,The Sting,Color
1973,American Graffiti,Color (Technicolor)
1973,Cries and Whispers,Color (Eastmancolor)
1973,The Exorcist,Color (Metrocolor)
1973,A Touch of Class,
1974,The Godfather Part II,Color (Technicolor)
1974,Chinatown,Color
1974,The Conversation,Color (Technicolor)
1974,Lenny,Black and White
1974,The Towering Inferno,Color
1975,One Flew Over the Cuckoo's Nest,Color
1975,Barry Lyndon,Color (Metrocolor) | Color (Eastmancolor)
1975,Dog Day Afternoon,Color (Technicolor)
1975,Jaws,Color
1975,Nashville,Color
1976,Rocky,Color (Technicolor)
1976,All the President's Men,Color (Technicolor)
1976,Bound for Glory,Color
1976,Network,Color
1976,Taxi Driver,Color (Metrocolor) (uncredited)
1977,Annie Hall,Color
1977,The Goodbye Girl,Color
1977,Julia,
1977,Star Wars,Color (Technicolor)
1977,The Turning Point,Color
1978,The Deer Hunter,Color (Technicolor)
1978,Coming Home,Color
1978,Heaven Can Wait,Color
1978,Midnight Express,Black and White (still photographs) | Color (Eastmancolor) (uncredited)
1978,An Unmarried Woman,
1979,Kramer vs. Kramer,
1979,All That Jazz,Color (Technicolor)
1979,Apocalypse Now,Color (Technicolor) | Color
1979,Breaking Away,Color
1979,Norma Rae,Color
1980,Ordinary People,Color (Technicolor)
1980,Coal Miner's Daughter,Color
1980,The Elephant Man,Black and White
1980,Raging Bull,Black and White | Color (some scenes)
1980,Tess,Color (Eastmancolor)
1981,Chariots of Fire,Color
1981,Atlantic City,Color
1981,On Golden Pond,Color
1981,Raiders of the Lost Ark,Color
1981,Reds,Color
1982,Gandhi,Black and White | Color (Technicolor)
1982,E.T. the Extra-Terrestrial,
1982,Missing,Color (Technicolor)
1982,Tootsie,Color
1982,The Verdict,Color (Technicolor)
1983,Terms of Endearment,Color (Metrocolor)
1983,The Big Chill,Color (Metrocolor)
1983,The Dresser,
1983,The Right Stuff,Color (Technicolor)
1983,Tender Mercies,Color
1984,Amadeus,Color
1984,The Killing Fields,Color
1984,A Passage to India,Color
1984,Places in the Heart,Color (Technicolor)
1984,A Soldier's Story,Color (Metrocolor)
1985,Out of Africa,Color
1985,The Color Purple,Color
1985,Kiss of the Spider Woman,Color (Metrocolor)
1985,Prizzi's Honor,Color
1985,Witness,Color (Technicolor)
1986,Platoon,Color
1986,Children of a Lesser God,Color
1986,Hannah and Her Sisters,Color (Technicolor)
1986,The Mission,Color
1986,A Room with a View,Color
1987,The Last Emperor,Color (Technicolor)
1987,Broadcast News,Color
1987,Fatal Attraction,Color (Technicolor)
1987,Hope and Glory,Color (Technicolor)
1987,Moonstruck,Color (Technicolor)
1988,Rain Man,Color
1988,The Accidental Tourist,Color (Technicolor)
1988,Dangerous Liaisons,Color (Eastmancolor)
1988,Mississippi Burning,Color (DeLuxe) | Color
1988,Working Girl,Color
1989,Driving Miss Daisy,Color
1989,Born on the Fourth of July,Color
1989,Dead Poets Society,Color (Metrocolor)
1989,Field of Dreams,Color
1989,My Left Foot,Color (Technicolor)
1990,Dances with Wolves,Color
1990,Awakenings,Color
1990,Ghost,Color (Technicolor)
1990,The Godfather Part III,Color (Technicolor)
1990,Goodfellas,Color (Technicolor)
1991,The Silence of the Lambs,Color
1991,Beauty and the Beast,Color (Technicolor)
1991,Bugsy,Color (Technicolor)
1991,JFK,Black and White | Color
1991,The Prince of Tides,Color
1992,Unforgiven,Color
1992,The Crying Game,Color (Eastmancolor)
1992,A Few Good Men,Color (Technicolor)
1992,Howards End,Color (Technicolor)
1992,Scent of a Woman,Color
1993,Schindler's List,Black and White | Color
1993,The Fugitive,Color
1993,In the Name of the Father,Color (Technicolor)
1993,The Piano,Color (Eastmancolor)
1993,The Remains of the Day,Color (Technicolor)
1994,Forrest Gump,Black and White | Color
1994,Four Weddings and a Funeral,Color (Eastmancolor)
1994,Pulp Fiction,Color
1994,Quiz Show,Color
1994,The Shawshank Redemption,Color
1995,Braveheart,Color
1995,Apollo 13,Color (DeLuxe)
1995,Babe,Color
1995,The Postman (Il Postino),Color (HD)
1995,Sense and Sensibility,Color
1996,The English Patient,Color
1996,Fargo,Color
1996,Jerry Maguire,Color
1996,Secrets & Lies,Color
1996,Shine,Color
1997,Titanic,Color
1997,As Good as It Gets,Color (Technicolor)
1997,The Full Monty,Color
1997,Good Will Hunting,Color
1997,L.A. Confidential,
1998,Shakespeare in Love,Color
1998,Elizabeth,Color
1998,Life Is Beautiful,Color
1998,Saving Private Ryan,Color (Technicolor)
1998,The Thin Red Line,Color
1999,American Beauty,Black and White | Color
1999,The Cider House Rules,Color
1999,The Green Mile,Color
1999,The Insider,Color
1999,The Sixth Sense,Color (Technicolor)
